role	i	j	affiliation
p	HAUCHECORNE MATHIEU	2009_ST50	CERAPS, U. LILLE 2
o	HAUCHECORNE MATHIEU	2011_ST32	CERAPS, U. LILLE 2
p	HAUCHECORNE MATHIEU	2013_ST25	U. VERSAILLES SAINT QUENTIN / CERAPS, U. LILLE 2
p	HAUCHECORNE MATHIEU	2013_ST60	U. VERSAILLES SAINT QUENTIN / CERAPS, U. LILLE 2
o	HAUCHECORNE MATHIEU	2017_ST3	CRESPPA-LABTOP, U. PARIS 8
p	HAURAY BORIS	2009_ST24	IRIS, EHESS PARIS & INSERM & U. PARIS 13
p	HAURAY BORIS	2013_ST21	IRIS, EHESS PARIS & INSERM & U. PARIS 13
p	HAURAY BORIS	2017_ST24	IRIS, EHESS PARIS & INSERM & U. PARIS 13
p	HAUSSAIRE MELISSA	2015_ST54	CERAPS, U. LILLE 2
p	HAUSSAIRE MELISSA	2015_ST59	CERAPS, U. LILLE 2
p	HAUTE TRISTAN	2015_ST13	CERAPS, U. LILLE 2
o	HAUTE TRISTAN	2017_ST48	CERAPS, U. LILLE 2
o	HAUTE TRISTAN	2019_ST33	CERAPS / UNIVERSITE DE LILLE
p	HAVKIN SHIRA	2019_ST74	SCIENCES PO, CERI
p	HAVKIN SHIRA	2019_ST85	CERI SCIENCES PO
p	HAY COLIN	2015_ST15	CEE, SCIENCES PO PARIS
o	HAY COLIN	2017_ST4	CEE, SCIENCES PO PARIS
p	HAYAT SAMUEL	2009_ST52	CRESPPA-LABTOP, U. PARIS 8
p	HAYAT SAMUEL	2011_ST37	CRESPPA-LABTOP, U. PARIS 8
o	HAYAT SAMUEL	2013_ST31	CRESPPA, U. PARIS 8
o	HAYAT SAMUEL	2015_STGREPO	CNAM PARIS
o	HAYAT SAMUEL	2017_ST30	CERAPS, U. LILLE 2
d	HAYAT SAMUEL	2019_ST54	CERAPS, UNIVERSITE DE LILLE / CNRS
o	HAYAT SAMUEL	2019_ST57	CERAPS
p	HAYES INGRID	2015_ST14	CHS, U. PARIS 1
p	HEALY AISLING	2009_ST18	LEST, U. AIX MARSEILLE 2
p	HEALY AISLING	2009_ST33	LEST, U. AIX MARSEILLE 2
p	HEALY AISLING	2011_ST40	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	HEALY AISLING	2019_ST85	LABORATOIRE TRIANGLE, UNIVERSITE JEAN MONNET
p	HEBERT EMMANUELLE	2013_ST43	COLLEGE EUROPE BRUGES (BELGIQUE)
p	HEBERT EMMANUELLE	2019_ST11	UNIVERSITE DE NAMUR
p	HECKER JOELLE	2015_ST60	CERI, SCIENCES PO PARIS
p	HECKLER SIMON	2017_ST43	U. PARIS 2
d	HEDTKE REINHOLD	2019_ST83	UNIVERSITE DE BIELEFELD
p	HEIMPEL DANIELA	2015_ST29	U. MONTREAL (CANADA)
p	HELIE THOMAS	2009_ST26	U. REIMS CHAMPAGNE ARDENNE
p	HELIE THOMAS	2019_ST33	CRDT/LASSP, UNIVERSITE DE REIMS CHAMPAGNE ARDENNES
o	HELIE THOMAS	2019_ST58	UNIVERSITE DE REIMS, CENTRE DE RECHERCHE DROIT ET TERRITOIRE CRDT
p	HELY MATTHIEU	2017_ST59	PRINTEMPS, U. VERSAILLES SAINT QUENTIN
p	HENKY MATHILDE	2019_ST16	PARIS DAUPHINE IRISSO
p	HENNEBERT SOLVEIG	2019_ST11	UNIVERSITE LUMIERE LYON 2
p	HENOEKL THOMAS	2017_ST69	[GERMAN DEVELOPMENT INSTITUTE (ALLEMAGNE)]
p	HENRY EMMANUEL	2009_ST14	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
o	HENRY EMMANUEL	2011_ST23	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	HENRY EMMANUEL	2013_ST17	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
d	HENRY EMMANUEL	2013_ST42	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	HENRY EMMANUEL	2017_ST6	IRISSO, U. PARIS 9
p	HENRY EMMANUEL	2017_ST8	IRISSO, U. PARIS 9
p	HERBRAND CATHY	2009_ST16	U. LIBRE BRUXELLES (BELGIQUE)
p	HERLIN-GIRET CAMILLE	2015_ST17	IRISSO, U. PARIS 9
NA	HERLIN-GIRET CAMILLE	2019_ST18	NA
p	HERMAN ELISA	2017_ST29	CMW, ENS LYON / [DREES-MIRE]
p	HERMAN LISE	2013_ST31	LONDON SCHOOL ECONOMICS POLITICAL SCIENCE (ROYAUME-UNI)
p	HEROLD BJORN	2019_ST82	UNIVERSITE DE KONSTANZ FACULTE DANTHROPOLOGIE SOCIALE
p	HERRERA MIGUEL	2015_ST27	CESSP-CRPS, U. PARIS 1
p	HERSANT JEANNE	2011_ST49	U. ANDRES BELLO SANTIAGO (CHILI)
p	HERSANT JEANNE	2017_ST64	U. PLAYA ANCHA VALPARAISO (CHILI)
p	HERSANT JEANNE	2019_STGANORMESETJUSTICE	PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
p	HERVIER LOUISE	2013_ST8	SCIENCES PO PARIS
NA	HERVIER LOUISE	2019_ST56	NA
p	HERZBERG CARSTEN	2009_ST122	CMB, HUMBOLDT U. BERLIN (ALLEMAGNE)
o	HESS GERALD	2017_ST76	IGD-FSGE, U. LAUSANNE (SUISSE)
d	HEURTAUX JEROME	2009_ST9	IRISSO, U. PARIS 9
o	HEURTAUX JEROME	2011_ST41	IRISSO, U. PARIS 9
d	HEURTAUX JEROME	2015_ST45	IRISSO, U. PARIS 9 / IRMC TUNIS (TUNISIE)
o	HEURTAUX JEROME	2015_ST47	IRISSO, U. PARIS 9 / IRMC TUNIS (TUNISIE)
o	HEURTIN JEAN-PHILIPPE	2009_ST50	U. VERSAILLES SAINT QUENTIN
p	HEURTIN JEAN-PHILIPPE	2011_ST37	GSPM, U. VERSAILLES SAINT QUENTIN
d	HEURTIN JEAN-PHILIPPE	2011_ST49	GSPM, U. VERSAILLES SAINT QUENTIN
p	HEURTIN JEAN-PHILIPPE	2015_ST12	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	HEURTIN JEAN-PHILIPPE	2015_ST7	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	HEURTIN JEAN-PHILIPPE	2017_ST1	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	HIEBEL DOMINIQUE	2011_ST37	CERAL, U. PARIS 13
d	HIMELFARB CELIA	2009_ST43	PACTE, IEP GRENOBLE
p	HIPPLER THOMAS	2017_ST68	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	HIRSCH YAEL	2013_ST64	SCIENCES PO PARIS
p	HIVERT GILDAS	2013_ST24	LASSP, IEP TOULOUSE
p	HIVERT JOSEPH	2013_ST35	CRAPUL-IEPI-IEPHI, U. LAUSANNE (SUISSE) / CENTRE JACQUES BERQUE RABAT (MAROC)
p	HIVERT JOSEPH	2015_ST10	CRAPUL-IEPI-IEPHI, U. LAUSANNE (SUISSE)
p	HMED CHOUKRI	2015_ST11	IRISSO, U. PARIS 9
p	HMED CHOUKRI	2017_ST2	IRISSO, U. PARIS 9
NA	HO-PUN CHEUNG ELISE	2019_STGAMONDIALISATIONCIRCULATIONSTRANSNATIONALISATION	NA
p	HOBEIKA ALEXANDRE	2011_ST13	CMH-ETT, EHESS PARIS & ENS PARIS / U. PARIS 1
p	HOBEIKA ALEXANDRE	2017_ST14	CMH-ETT, EHESS PARIS & ENS PARIS
p	HOCQUELET MATHIEU	2019_ST86	CEREQ MARSEILLE
p	HOEFFLER CATHERINE	2009_ST11	CEVIPOF, SCIENCES PO PARIS
o	HOEFFLER CATHERINE	2009_ST21	CEVIPOF, SCIENCES PO PARIS
p	HOEFFLER CATHERINE	2011_ST11	CEE, SCIENCES PO PARIS
o	HOEFFLER CATHERINE	2013_ST1	CEPEL, U. MONTPELLIER 1
NA	HOEFFLER CATHERINE	2019_ST56	NA
p	HOEFFLER CATHERINE	2019_ST58	SPIRIT-CED, IEP-U. BORDEAUX
d	HOEFFLER CATHERINE	2019_STGRUE	SCIENCES PO BORDEAUX
p	HOELLER IRIS	2011_ST33	U. INNSBRUCK (ALLEMAGNE)
p	HOFMANN ELISABETH	2013_ST46	STC, U. BORDEAUX 3 / IATU, U. BORDEAUX 3 / CEAN-LAM, IEP BORDEAUX
p	HOFNUNG MENACHEM	2013_ST41	HEBREW U. JERUSALEM (ISRAEL)
p	HOLEINDRE JEAN-VINCENT	2009_ST31	EHESS PARIS
o	HOLEINDRE JEAN-VINCENT	2009_ST52	EHESS PARIS
p	HOLEINDRE JEAN-VINCENT	2011_ST2	EHESS PARIS
p	HOLEINDRE JEAN-VINCENT	2011_ST7	EHESS PARIS
o	HOLEINDRE JEAN-VINCENT	2013_ST66	U. PARIS 2
o	HOLEINDRE JEAN-VINCENT	2015_ST60	U. PARIS 2
o	HOLEINDRE JEAN-VINCENT	2017_ST61	CECOJI, U. POITIERS
NA	HOLEINDRE JEAN-VINCENT	2019_ST59	NA
p	HONEGGER CAROLINE	2019_ST70	HES SO | EESP, LAUSANNE
p	HONTA MARINA	2019_ST49	SPIRIT-CED, IEP-U. BORDEAUX
p	HOOP SCHEFFER ALEXANDRA	2009_ST2	SCIENCES PO PARIS / C2SD PARIS
p	HORNUNG JOHANNA	2017_ST25	IFS, TECHNISCHE U. BRAUNSCHWEIG (ALLEMAGNE)
p	HOURCADE JEAN-CHARLES	2017_ST72	CIRED PARIS
p	HOURCADE RENAUD	2009_ST36	CRAPE-ARENES, EHESP-IEP-U. RENNES 1 & 2
p	HOURCADE RENAUD	2011_ST50	CRAPE-ARENES, EHESP-IEP-U. RENNES 1 & 2
p	HOURCADE RENAUD	2013_ST11	CRAPE-ARENES, EHESP-IEP-U. RENNES 1 & 2
p	HOURCADE RENAUD	2015_ST8	CRAPE-ARENES, EHESP-IEP-U. RENNES 1 & 2
p	HOURCADE RENAUD	2017_ST16	CRAPE-ARENES, EHESP-IEP-U. RENNES 1 & 2
p	HOURCADE RENAUD	2017_ST23	CRAPE-ARENES, EHESP-IEP-U. RENNES 1 & 2
p	HOURCADE RENAUD	2019_ST01	CNRS, ARENES, IEP DE RENNES
o	HOURCADE RENAUD	2019_ST60	CNRS, ARENES UMR 6051
p	HOURDEAU-BODIN STEPHANIE	2017_ST6	U. LA ROCHELLE
p	HOURMANT FRANCOIS	2019_ST71	UNIVERSITE DANGERS
p	HOUTE ARNAUD	2017_ST68	CRHXIX, U. PARIS 1
p	HOWLAND FANNY	2019_ST61	, JEAN FRANCOIS LE COQ ARTDEV, CIAT COLOMBIE
p	HRABANSKI MARIE	2011_ST18	[WORLD BUSINESS COUNCIL SUSTAINABLE DEVELOPMENT (SUISSE)]
p	HRABANSKI MARIE	2013_ST18	ART DEV, CIRAD MONTPELLIER & U. MONTPELLIER 3
p	HRABANSKI MARIE	2013_ST20	ART DEV, CIRAD MONTPELLIER & U. MONTPELLIER 3
p	HRABANSKI MARIE	2015_ST11	ART DEV, CIRAD MONTPELLIER & U. MONTPELLIER 3
o	HRABANSKI MARIE	2015_ST56	ART DEV, CIRAD MONTPELLIER & U. MONTPELLIER 3
o	HRABANSKI MARIE	2019_ST61	UMR ARTDEV,CIRAD
p	HU GREGORY	2009_ST37	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
o	HU GREGORY	2011_ST30	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	HU GREGORY	2013_ST30	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	HU GREGORY	2015_ST19	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	HU GREGORY	2015_ST20	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	HU GREGORY	2015_ST22	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	HUANG XILIN CELINE	2017_ST69	CERLIS, U. PARIS 5
p	HUBE NICOLAS	2013_ST33	CESSP-CRPS, U. PARIS 1
p	HUBE NICOLAS	2015_STPOPACT	CESSP-CRPS, U. PARIS 1 / CMB, HUMBOLDT U. BERLIN (ALLEMAGNE)
o	HUBE NICOLAS	2017_ST1	CESSP-CRPS, U. PARIS 1
p	HUC ARNAUD	2017_ST36	CEPEL, U. MONTPELLIER 1
p	HUC ARNAUD	2019_ST01	CENTRE DETUDES POLITIQUES DE LEUROPE LATINE, UMR 5112
p	HUFTY MARC	2015_ST56	IHEID, GENEVE (SUISSE)
o	HUGON CLOTHILDE	2015_ST30	CEAN-LAM, IEP BORDEAUX
p	HUMMEL ALEXANDRE	2009_ST21	U. LYON 3
p	HUNSMANN MORITZ	2013_ST42	EHESS PARIS / ALBERT LUDWIGS U. FREIBURG (ALLEMAGNE)
p	HUYSMANS JEF	2013_ST52	OPEN U. (ROYAUME-UNI)
p	HUYSMANS JEF	2015_ST57	OPEN U. (ROYAUME-UNI)
p	HYEOK KWON	2015_ST1	KOREA U. SEOUL (COREE DU SUD)
p	IANCU ALEXANDRA	2015_ST45	U. BUCAREST (ROUMANIE)
p	IBRAHIM ABDELBASSET	2017_ST73	IEDP, U. PARIS 11
o	ICARD VALERIE	2017_ST13	CESDIP, U. VERSAILLES SAINT QUENTIN / U. PICARDIE
p	IGOUNET VALERIE	2013_ST27	IHTP
p	IHADDADENE FLORENCE	2019_ST66	UNIVERSITE PARIS NANTERRE, IDHES
p	IHADDADENE FLORENCE	2019_ST72	UNIVERSITE DE PARIS NANTERRE, IDHES
o	IHL OLIVIER	2009_ST43	PACTE, IEP GRENOBLE
o	IHL OLIVIER	2011_ST7	PACTE, IEP GRENOBLE
p	IHL OLIVIER	2015_ST3	PACTE, IEP GRENOBLE
p	IMBEAU LOUIS	2017_ST38	U. LAVAL (CANADA)
p	INENAGA YUSUKE	2013_ST61	GSRL, EPHE PARIS
o	INVERNIZZI ACCETTI CARLO	2013_ST64	SCIENCES PO PARIS
o	INVERNIZZI ACCETTI CARLO	2015_ST29	CENTRE THEORIE POLITIQUE, U. LIBRE BRUXELLES (BELGIQUE)
p	IORI RUGGERO	2015_ST10	PRINTEMPS, U. VERSAILLES SAINT QUENTIN
p	IRONDELLE BASTIEN	2009_ST11	CERI, SCIENCES PO PARIS
p	IRONDELLE BASTIEN	2009_ST21	CERI, SCIENCES PO PARIS
d	ISRAEL LIORA	2009_ST38	CMH, EHESS PARIS & ENS PARIS / CEMS, EHESS PARIS
o	ISRAEL LIORA	2011_ST42	CMH, EHESS PARIS & ENS PARIS
p	ITCAINA XABIER	2009_ST39	SPIRIT-CED, IEP-U. BORDEAUX
p	ITCAINA XABIER	2011_ST39	SPIRIT-CED, IEP-U. BORDEAUX
o	ITCAINA XABIER	2013_ST9	SPIRIT-CED, IEP-U. BORDEAUX / EUROPEAN U. INSTITUTE FLORENCE (ITALIE)
p	ITCAINA XABIER	2015_ST41	SPIRIT-CED, IEP-U. BORDEAUX
p	ITCAINA XABIER	2019_ST15	SPIRIT-CED, IEP-U. BORDEAUX
p	ITCAINA XABIER	2019_ST77	SPIRIT-CED, IEP-U. BORDEAUX
p	ITURRE MAITE	2009_ST2	U. PAYS BASQUE
p	IVALDI GILLES	2013_ST27	URMIS, U. NICE SOPHIA ANTIPOLIS
p	IZQUIERDO JEAN-MARIE	2009_ST17	SPIRIT-CED, IEP-U. BORDEAUX / CECL, U. PAU PAYS ADOUR
p	IZQUIERDO JEAN-MARIE	2009_ST31	SPIRIT-CED, IEP-U. BORDEAUX / CECL, U. PAU PAYS ADOUR
p	IZQUIERDO JEAN-MARIE	2011_ST30	CECL, U. PAU PAYS ADOUR
p	JABBOUR JANA	2017_ST66	CERI, SCIENCES PO PARIS / U. SAINT JOSEPH BEYROUTH (LIBAN)
p	JABER ASMAA	2013_ST35	CEE, SCIENCES PO PARIS
d	JACOB STEVE	2009_ST14	U. LAVAL (CANADA)
p	JACOBS DIRK	2009_ST34	U. LIBRE BRUXELLES (BELGIQUE)
d	JACQUEMART ALBAN	2017_ST28	IRISSO, U. PARIS 9
p	JACQUET VINCENT	2019_ST12	U. CATHOLIQUE LOUVAIN (BELGIQUE)
NA	JACQUET-VAILLANT MARION	2019_ST37	NA
NA	JACQUET-VAILLANT MARION	2019_ST69	NA
o	JACQUOT SOPHIE	2009_ST14	CEE, SCIENCES PO PARIS
p	JACQUOT SOPHIE	2009_ST15	CEE, SCIENCES PO PARIS
p	JACQUOT SOPHIE	2009_ST20	CEE, SCIENCES PO PARIS
o	JACQUOT SOPHIE	2011_ST16	CEE, SCIENCES PO PARIS
p	JACQUOT SOPHIE	2013_ST7	ISPOLE, U. CATHOLIQUE LOUVAIN (BELGIQUE)
p	JADOT ANNE	2009_ST13	U. LORRAINE
p	JADOT ANNE	2009_ST5	U. LORRAINE
o	JADOT ANNE	2011_ST33	IRENEE, U. LORRAINE / CEPEL, U. MONTPELLIER 1
p	JADOT ANNE	2011_ST34	IRENEE, U. LORRAINE / CEPEL, U. MONTPELLIER 1
p	JADOT ANNE	2013_ST28	IRENEE, U. LORRAINE
d	JADOT ANNE	2015_ST4	IRENEE, U. LORRAINE / CEVIPOF, SCIENCES PO PARIS
p	JADOT ANNE	2015_ST7	IRENEE, U. LORRAINE / CEVIPOF, SCIENCES PO PARIS
p	JADOT CLEMENT	2015_ST55	CEVIPOL, U. LIBRE BRUXELLES (BELGIQUE)
p	JAFALIAN ANNIE	2019_ST15	SCIENCES PO LYON
p	JAKSIC MILENA	2011_ST52	IRIS, EHESS PARIS & INSERM & U. PARIS 13
p	JAKSIC MILENA	2015_ST50	ISSP, ENS CACHAN & U. PARIS 10
o	JAKSIC MILENA	2017_ST64	ISSP, ENS CACHAN & U. PARIS 10
o	JAKSIC MILENA	2019_ST50	ISP, UNIVERSITE DE PARIS X NANTERRE
p	JANY-CATRICE FLORENCE	2015_ST31	CLERSE, U. LILLE 1
p	JARA RENE	2015_ST3	PACTE, IEP GRENOBLE
p	JARA REYES RENE	2011_ST7	PACTE, IEP GRENOBLE
p	JARDIN ANTOINE	2011_ST34	CEE, SCIENCES PO PARIS
p	JARDIN ANTOINE	2013_ST6	CEE, SCIENCES PO PARIS
p	JARDIN ANTOINE	2015_ST1	CEE, SCIENCES PO PARIS
p	JARDIN ANTOINE	2015_ST2	CEE, SCIENCES PO PARIS
o	JARMAN HOLLY	2013_ST15	HEALTH MANAGEMENT POLICY, U. MICHIGAN SCHOOL PUBLIC HEALTH (USA)
p	JARRIER ANNE-LUCIE	2015_ST58	CERSA, U. PARIS 2
o	JAULIN THIBAUT	2015_ST5	CERI, SCIENCES PO PARIS
o	JAULIN THIBAUT	2017_ST41	SCIENCES PO PARIS
p	JAUNAIT ALEXANDRE	2011_ST53	U. POITIERS
p	JAUNAIT ALEXANDRE	2013_ST33	U. POITIERS
p	JAUNAIT ALEXANDRE	2017_ST28	U. POITIERS / ISSP, ENS CACHAN & U. PARIS 10
p	JAUNIN FREDERIC	2011_ST36	INSTITUT BENJAMIN CONSTANT, LAUSANNE (SUISSE)
p	JEANDEMANGE THIBAULT	2015_ST8	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	JEANDESBOZ JULIEN	2013_ST52	U. AMSTERDAM (PAYS-BAS)
o	JEANGENE VILMER JEAN-BAPTISTE	2011_ST5	WAR STUDIES, KINGS COLLEGE LONDON (ROYAUME-UNI)
e	JEANGENE VILMER JEAN-BAPTISTE	2013_ST51	NA
p	JEANNIER FABIEN	2009_ST26	TRIANGLE, ENS-IEP LYON & U. LYON 2
d	JEANPIERRE LAURENT	2011_ST1	CRESPPA-LABTOP, U. PARIS 8
p	JEANPIERRE LAURENT	2011_ST2	CRESPPA-LABTOP, U. PARIS 8
p	JEANPIERRE LAURENT	2013_ST34	CRESPPA-LABTOP, U. PARIS 8
o	JEANPIERRE LAURENT	2015_ST57	CRESPPA-LABTOP, U. PARIS 8
o	JEANPIERRE LAURENT	2019_ST63	UNIVERSITE PARIS 8 SAINT DENIS, UMR CRESPPA CNRS 7012
d	JEANPIERRE LAURENT	2019_ST79	UNIVERSITE PARIS 8
p	JENDOUBI AHMED	2013_ST1	U. LYON 2
p	JEROME VANESSA	2011_ST29	CESSP-CRPS, U. PARIS 1
p	JEROME VANESSA	2011_ST31	CESSP-CRPS, U. PARIS 1
p	JEROME VANESSA	2013_ST24	CESSP-CRPS, U. PARIS 1
p	JEROME VANESSA	2013_ST33	CESSP-CRPS, U. PARIS 1
p	JEROME VANESSA	2015_ST20	EHESS PARIS / CESSP-CRPS, U. PARIS 1
p	JEROME VANESSA	2015_ST21	EHESS PARIS / CESSP-CRPS, U. PARIS 1
d	JEROME VANESSA	2019_ST21	UNIVERSITE PARIS I
p	JESUS RODRIGUEZ MARIA	2015_ST39	CSPL, U. PABLO DE OLAVIDE SEVILLE (ESPAGNE)
p	JIMENEZ FERNANDO	2015_STRC20IPSA	U. MURCIA (ESPAGNE)
p	JOANA JEAN	2009_ST11	LASSP, IEP TOULOUSE
o	JOANA JEAN	2009_ST21	LASSP, IEP TOULOUSE
p	JOANA JEAN	2015_ST33	CEPEL, U. MONTPELLIER 1
NA	JOANA JEAN	2019_ST56	NA
p	JOANA JEAN	2019_ST58	UNIVERSITE DE MONTPELLIER, CEPEL
p	JOBARD FABIEN	2019_ST46	CESDIP, U. VERSAILLES SAINT QUENTIN
p	JOBARD FABIEN	2019_ST57	CESDIP, U. VERSAILLES SAINT QUENTIN
p	JOBARD FABIEN	2019_STGANORMESETJUSTICE	CESDIP, U. VERSAILLES SAINT QUENTIN
p	JOBERT BRUNO	2009_ST28	PACTE, IEP GRENOBLE
p	JOBERT BRUNO	2011_ST17	PACTE, IEP GRENOBLE
p	JOBERT BRUNO	2015_ST33	PACTE, IEP GRENOBLE
p	JOHNS ROBERT	2015_STPOPACT	U. ESSEX (ROYAUME-UNI)
p	JOHNSON REBECCA	2011_ST52	U. VICTORIA (CANADA)
o	JOHSUA FLORENCE	2015_ST13	CRAPUL-IEPI-IEPHI, U. LAUSANNE (SUISSE) / CEE, SCIENCES PO PARIS
p	JOHSUA FLORENCE	2015_ST14	CRAPUL-IEPI-IEPHI, U. LAUSANNE (SUISSE) / CEE, SCIENCES PO PARIS
o	JOIGNANT ALFREDO	2009_ST43	U. CHILE (CHILI)
e	JOIGNANT ALFREDO	2011_ST7	COES, U. DIEGO PORTALES (CHILI)
p	JOIGNANT ALFREDO	2015_ST19	COES, U. DIEGO PORTALES (CHILI)
o	JOIGNANT ALFREDO	2019_ST04	UNIVERSITE DIEGO PORTALES COES, CHILI
o	JOIGNANT ALFREDO	2019_ST64	ECOLE DE SCIENCE POLITIQUE DE LUNIVERSITE DIEGO PORTALES, SANTIAGO DU CHILI ET CENTER FOR SOCIAL CONFLICT AND COHESION STUDIES COES
p	JONGHEON KIM	2019_ST36	LAGAPE, U. LAUSANNE (SUISSE) / CLERSE, U. LILLE 1
p	JONSSON INGRID	2009_ST27	U. LUND (SUEDE)
p	JOSSE DURAND CHLOE	2015_ST52	CEAN-LAM, IEP BORDEAUX
p	JOSSELIN DIDIER	2015_ST4	ESPACE, U. AVIGNON
NA	JOSSET JEAN-MARC	2019_ST07	NA
o	JOSSIN ARIANE	2011_ST43	CMB, HUMBOLDT U. BERLIN (ALLEMAGNE) / CRAPE-ARENES, EHESP-IEP-U. RENNES 1 & 2
p	JOUANNEAU SOLENNE	2011_ST49	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
o	JOUANNEAU SOLENNE	2013_ST59	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
o	JOUANNEAU SOLENNE	2017_ST53	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
o	JOUANNEAU SOLENNE	2019_ST65	SAGE, UNIVERSITE DE STRASBOURG
p	JOUHANNEAU CECILE	2009_ST38	CERI, SCIENCES PO PARIS
p	JOUHANNEAU CECILE	2011_ST4	CERI, SCIENCES PO PARIS / ISSP, ENS CACHAN & U. PARIS 10
o	JOUHANNEAU CECILE	2013_ST43	CERI, SCIENCES PO PARIS / ISSP, ENS CACHAN & U. PARIS 10
o	JOUHANNEAU CECILE	2015_ST51	ART DEV, CIRAD MONTPELLIER & U. MONTPELLIER 3
o	JOUHANNEAU CECILE	2017_ST67	ART DEV, CIRAD MONTPELLIER & U. MONTPELLIER 3
d	JOUNIN NICOLAS	2013_ST11	URMIS, U. PARIS 8
p	JOURDAIN EDOUARD	2017_ST57	U. CATHOLIQUE PARIS / IHEJ PARIS
p	JOUVENET MORGAN	2009_ST24	PRINTEMPS, U. VERSAILLES SAINT QUENTIN
p	JOUZEL JEAN-NOEL	2009_ST41	CSO, SCIENCES PO PARIS
p	JOUZEL JEAN-NOEL	2011_ST23	CSO, SCIENCES PO PARIS
NA	JOUZEL JEAN-NOEL	2019_ST60	NA
o	JOYE DOMINIQUE	2009_ST42	FORS, U. LAUSANNE (SUISSE)
p	JUCA IVAN	2015_STRC20IPSA	U. MINNESOTA (USA)
p	JUILLET LUC	2013_ST41	GSPIA, U. OTTAWA (CANADA)
p	JUILLET LUC	2015_STRC20IPSA	U. OTTAWA (CANADA)
p	JULIEN FREDERIC	2009_ST30	U. OTTAWA (CANADA)
p	JULLIARD EMILIEN	2017_ST24	EHESS PARIS
p	JULLIARD EMILIEN	2019_ST10	CMH / IRISSO, U. PARIS 9
p	JULLIARD VIRGINIE	2019_ST69	COSTECH-EPIN, U. TECHNOLOGIE COMPIEGNE
o	JUVEN PIERRE-ANDRE	2015_ST31	CSI, MINES PARISTECH
o	JUVEN PIERRE-ANDRE	2017_ST8	IFRIS, U. PARIS EST MARNE LA VALLEE / CERMES3 VILLEJUIF
p	KACENELENBOGEN EDWIGE	2009_ST52	CRA, EHESS PARIS
p	KACHOUKH FERIEL	2011_ST22	[CENTRE OPALE]
p	KACIAF NICOLAS	2011_ST31	U. VERSAILLES SAINT QUENTIN / CERAPS, U. LILLE 2
p	KACIAF NICOLAS	2011_ST39	U. VERSAILLES SAINT QUENTIN / CERAPS, U. LILLE 2
o	KACIAF NICOLAS	2013_ST36	VIP, U. VERSAILLES SAINT QUENTIN / CERAPS, U. LILLE 2
p	KACIAF NICOLAS	2015_ST20	IEP LILLE / CERAPS, U. LILLE 2
d	KACIAF NICOLAS	2015_ST48	IEP LILLE / CERAPS, U. LILLE 2
p	KACIAF NICOLAS	2017_ST1	IEP LILLE / CERAPS, U. LILLE 2
p	KACIAF NICOLAS	2017_ST49	IEP LILLE / CERAPS, U. LILLE 2
p	KACIAF NICOLAS	2019_ST82	IEP LILLE / CERAPS, U. LILLE 2
p	KAIPL ESTEBAN	2019_ST57	UNIVERSIDAD NACIONAL DEL LITORAL / UNIVERSIDAD NACIONAL DE ROSARIO
p	KALIBATAITE ZIVILE	2017_ST63	U. NAMUR (BELGIQUE) / U. PARIS 12
p	KALUSZYNSKI MARTINE	2009_ST50	PACTE, IEP GRENOBLE
o	KALUSZYNSKI MARTINE	2017_ST59	PACTE, IEP GRENOBLE
c	KALUSZYNSKI MARTINE	2019_STGASAVOIRSDISCIPLINESPOUVOIRS	PACTE UMR 5194, UNIVERSITE GRENOBLE ALPES
p	KAMEL NADIA	2017_ST28	POLITIQUES PUBLIQUES, U. HASSAN II CASABLANCA (MAROC)
p	KAMGA SERGES	2019_ST47	SERGES D KAMGA TMALI, PRETORIA
p	KAPP SEBASTIEN	2017_ST15	CSO, SCIENCES PO PARIS
d	KARILA-COHEN PIERRE	2013_ST2	CERHIO, U. RENNES 2
p	KARIMI HANANE	2017_ST53	DYNAMIQUES EUROPEENNES, U. STRASBOURG
p	KARKBI BADR	2019_ST67	IRM CMRP, UNIVERSITE DE BORDEAUX
p	KARLSRUD JOHN	2019_ST76	NORWEGIAN INSTITUTE OF INTERNATIONAL AFFAIRS
p	KASTORYANO RIVA	2015_ST5	CERI, SCIENCES PO PARIS
p	KATAYOUN SAFI	2009_ST42	U. ZURICH (SUISSE)
