role	i	j	affiliation
p	AMIEL BASTIEN	2019_ST13	U. PARIS 10
p	AMILHAT ANNE-LAURE	2009_ST43	PACTE, IEP GRENOBLE
p	AMIOT HERVE	2019_ST66	UNIVERSITE BORDEAUX MONTAIGNE / UNIVERSITE PARIS 1 PANTHEON SORBONNE ; PASSAGES
p	AMIOTTE-SUCHET LAURENT	2017_ST58	ISSRC, U. LAUSANNE (SUISSE)
p	AMOUGOU GERARD	2019_ST81	UNIVERSITE DE YAOUNDE II
p	AMSELLEM-MAINGUY YAELLE	2017_ST26	INJEP PARIS
o	ANCELOVICI MARCOS	2019_ST04	U. QUEBEC MONTREAL (CANADA)
p	ANCHISI ANNICK	2017_ST58	HAUTE ECOLE SANTE VAUD LAUSANNE (SUISSE)
p	ANDERFUHREN-BIGET SIMON	2015_ST54	U. GENEVE (SUISSE)
o	ANDERSSON JENNY	2013_ST3	CEE, SCIENCES PO PARIS
p	ANDOLFATTO DOMINIQUE	2013_ST27	U. BOURGOGNE FRANCHE COMTE
p	ANDOLFATTO DOMINIQUE	2017_ST48	CREDESPO, U. BOURGOGNE FRANCHE COMTE
p	ANDOLFATTO DOMINIQUE	2019_ST54	UNIVERSITE DE BOURGOGNE FRANCHE COMTE, CREDESPO
p	ANDRE SYLVAIN	2013_ST2	CAER, U. AIX MARSEILLE
p	ANDREANI JULIEN	2013_ST7	LAMES, U. AIX MARSEILLE 2
p	ANDRIAMASINORO VAKANA	2009_ST43	PACTE, IEP GRENOBLE
o	ANGELI AGUITON SARA	2017_ST6	CAK, EHESS PARIS
o	ANGELI AGUITON SARA	2017_ST8	CAK, EHESS PARIS
d	ANGELI AGUITON SARA	2019_ST60	CNRS, CENTRE ALEXANDRE KOYRE
p	ANGRAND BRICE	2017_ST46	TRIANGLE, ENS-IEP LYON & U. LYON 2
p	ANQUETIN VIRGINIE	2009_ST14	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
o	ANQUETIN VIRGINIE	2015_ST22	GSPE-PRISME-SAGE, IEP-U. STRASBOURG
p	ANSALONI MATTHIEU	2009_ST20	ECONOMIE SOCIOLOGIE RURALES, INRA
o	ANSALONI MATTHIEU	2015_ST15	SPIRIT-CED, IEP-U. BORDEAUX
p	ANSALONI MATTHIEU	2017_ST4	LASSP, IEP TOULOUSE / SPIRIT-CED, IEP-U. BORDEAUX
o	ANSALONI MATTHIEU	2017_ST5	LASSP, IEP TOULOUSE / SPIRIT-CED, IEP-U. BORDEAUX
p	ANTHONY CLEMENT	2019_ST85	ANTHONY CLEMENT MASTER 2, LABORATOIRE TRIANGLE
d	ANTICHAN SYLVAIN	2009_ST38	CESSP-CRPS, U. PARIS 1
p	ANTICHAN SYLVAIN	2011_ST50	CESSP-CRPS, U. PARIS 1
p	ANTICHAN SYLVAIN	2011_ST8	CESSP-CRPS, U. PARIS 1
p	ANTICHAN SYLVAIN	2017_ST54	ISSP, ENS CACHAN & U. PARIS 10
p	ANTICHAN SYLVAIN	2019_ST25	TRIANGLE LYON 2
p	ANTOINE AGNES	2009_ST51	CRPRA, EHESS PARIS
p	ANZALONE GUILHEM	2009_ST41	CSO, SCIENCES PO PARIS / CMH, EHESS PARIS & ENS PARIS
p	AOUN ELENA	2011_ST8	U. LIBRE BRUXELLES (BELGIQUE)
p	AOUN ELENA	2013_ST49	REPI, U. LIBRE BRUXELLES (BELGIQUE)
p	ARAMBOUROU CLEMENT	2015_ST8	SPIRIT-CED, IEP-U. BORDEAUX
p	ARAMBOUROU CLEMENT	2015_STGREPO	SPIRIT-CED, IEP-U. BORDEAUX
o	ARAMBOUROU CLEMENT	2019_ST06	SPIRIT-CED, IEP-U. BORDEAUX
p	ARANGUREN MARTIN	2019_STGAINEGALITESETDISCRIMINATIONS	URMIS
